"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_FO|844382","844382","SENSEX24JUL81200PE",,"0.0","2024-07-26","81200","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844388","844388","SENSEX24AUG81200PE",,"0.0","2024-08-30","81200","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|877158","877158","SENSEX25MAR75000CE",,"0.0","2025-03-28","75000","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844395","844395","BANKEX24AUG61100PE",,"0.0","2024-08-26","61100","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|844399","844399","SENSEX24AUG81100CE",,"0.0","2024-08-30","81100","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|1139312","1139312","SENSEX5024AUG23650PE",,"0.0","2024-08-29","23650","0.05","25","OPTIDX","PE","BSE_FO"
"BSE_FO|844407","844407","BANKEX24AUG61000CE",,"0.0","2024-08-26","61000","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844419","844419","BANKEX24AUG61300PE",,"0.0","2024-08-26","61300","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|844425","844425","SENSEX24AUG81300CE",,"0.0","2024-08-30","81300","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844429","844429","BANKEX24AUG61200CE",,"0.0","2024-08-26","61200","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844432","844432","BANKEX24JUL61100PE",,"0.0","2024-07-29","61100","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|844435","844435","BANKEX24JUL61000CE",,"0.0","2024-07-29","61000","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844438","844438","SENSEX5024JUL25800CE",,"0.0","2024-07-25","25800","0.05","25","OPTIDX","CE","BSE_FO"
"BSE_FO|844442","844442","BANKEX24JUL61300PE",,"0.0","2024-07-29","61300","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|844450","844450","BANKEX24JUL61200CE",,"0.0","2024-07-29","61200","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844457","844457","SENSEX24AUG81100PE",,"0.0","2024-08-30","81100","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844459","844459","SENSEX5024JUL25750CE",,"0.0","2024-07-25","25750","0.05","25","OPTIDX","CE","BSE_FO"
"BSE_FO|844460","844460","BANKEX24AUG61000PE",,"0.0","2024-08-26","61000","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|844468","844468","SENSEX24AUG81300PE",,"0.0","2024-08-30","81300","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|1172152","1172152","SENSEX24AUG74100PE",,"0.0","2024-08-30","74100","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|1139388","1139388","SENSEX5024AUG24350CE",,"0.0","2024-08-29","24350","0.05","25","OPTIDX","CE","BSE_FO"
"BSE_FO|844477","844477","SENSEX24AUG81200CE",,"0.0","2024-08-30","81200","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|1172160","1172160","SENSEX24AUG76400PE",,"0.0","2024-08-30","76400","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844481","844481","BANKEX24JUL61000PE",,"0.0","2024-07-29","61000","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|844484","844484","SENSEX5024JUL25800PE",,"0.0","2024-07-25","25800","0.05","25","OPTIDX","PE","BSE_FO"
"BSE_FO|844499","844499","SENSEX24JUL81100CE",,"0.0","2024-07-26","81100","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844501","844501","SENSEX5024JUL25750PE",,"0.0","2024-07-25","25750","0.05","25","OPTIDX","PE","BSE_FO"
"BSE_FO|844510","844510","SENSEX24JUL81300CE",,"0.0","2024-07-26","81300","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|1101947","1101947","SENSEX5024JUL23600PE",,"0.0","2024-07-25","23600","0.05","25","OPTIDX","PE","BSE_FO"
"BSE_FO|877290","877290","SENSEX25MAR79000PE",,"0.0","2025-03-28","79000","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844541","844541","SENSEX24JUL81100PE",,"0.0","2024-07-26","81100","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|1172228","1172228","SENSEX24AUG70400PE",,"0.0","2024-08-30","70400","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844551","844551","SENSEX24JUL81300PE",,"0.0","2024-07-26","81300","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844553","844553","SENSEX5024AUG25800CE",,"0.0","2024-08-29","25800","0.05","25","OPTIDX","CE","BSE_FO"
"BSE_FO|1172236","1172236","SENSEX24AUG72700PE",,"0.0","2024-08-30","72700","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844557","844557","SENSEX24JUL81200CE",,"0.0","2024-07-26","81200","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844559","844559","BANKEX24AUG61200PE",,"0.0","2024-08-26","61200","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|844565","844565","BANKEX24AUG61100CE",,"0.0","2024-08-26","61100","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844570","844570","SENSEX5024AUG25750CE",,"0.0","2024-08-29","25750","0.05","25","OPTIDX","CE","BSE_FO"
"BSE_FO|844581","844581","BANKEX24AUG61300CE",,"0.0","2024-08-26","61300","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844584","844584","BANKEX24JUL61200PE",,"0.0","2024-07-29","61200","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|1139507","1139507","SENSEX5024AUG22950CE",,"0.0","2024-08-29","22950","0.05","25","OPTIDX","CE","BSE_FO"
"BSE_FO|844607","844607","SENSEX24SEP76300PE",,"0.0","2024-09-27","76300","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844608","844608","SENSEX24SEP78600PE",,"0.0","2024-09-27","78600","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844610","844610","SENSEX24SEP74900PE",,"0.0","2024-09-27","74900","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844612","844612","SENSEX24SEP77900CE",,"0.0","2024-09-27","77900","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844613","844613","SENSEX24SEP80300PE",,"0.0","2024-09-27","80300","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844620","844620","BANKEX24AUG61500CE",,"0.0","2024-08-26","61500","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844622","844622","SENSEX24SEP76200CE",,"0.0","2024-09-27","76200","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844623","844623","SENSEX24SEP78500CE",,"0.0","2024-09-27","78500","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844625","844625","BANKEX24JUL61400PE",,"0.0","2024-07-29","61400","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|844626","844626","SENSEX24SEP74800CE",,"0.0","2024-09-27","74800","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844628","844628","SENSEX24SEP80200CE",,"0.0","2024-09-27","80200","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844631","844631","BANKEX24AUG61800PE",,"0.0","2024-08-26","61800","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|844633","844633","SENSEX24SEP74200PE",,"0.0","2024-09-27","74200","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844635","844635","SENSEX24SEP76500PE",,"0.0","2024-09-27","76500","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844636","844636","SENSEX24SEP78800PE",,"0.0","2024-09-27","78800","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844637","844637","SENSEX24SEP79500CE",,"0.0","2024-09-27","79500","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844638","844638","SENSEX24SEP75800CE",,"0.0","2024-09-27","75800","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844639","844639","SENSEX24SEP80500PE",,"0.0","2024-09-27","80500","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844642","844642","BANKEX24AUG61700CE",,"0.0","2024-08-26","61700","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844646","844646","SENSEX24SEP74100CE",,"0.0","2024-09-27","74100","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844647","844647","SENSEX24SEP76400CE",,"0.0","2024-09-27","76400","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844648","844648","SENSEX24SEP79800PE",,"0.0","2024-09-27","79800","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844649","844649","BANKEX24JUL61600PE",,"0.0","2024-07-29","61600","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|844650","844650","SENSEX24SEP80400CE",,"0.0","2024-09-27","80400","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844653","844653","SENSEX24SEP78100PE",,"0.0","2024-09-27","78100","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844655","844655","SENSEX24SEP74400PE",,"0.0","2024-09-27","74400","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844656","844656","SENSEX24SEP76700PE",,"0.0","2024-09-27","76700","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844658","844658","SENSEX24SEP75100CE",,"0.0","2024-09-27","75100","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844659","844659","SENSEX24SEP77400CE",,"0.0","2024-09-27","77400","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844660","844660","SENSEX24SEP79700CE",,"0.0","2024-09-27","79700","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844661","844661","BANKEX24JUL61500CE",,"0.0","2024-07-29","61500","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844662","844662","SENSEX24SEP73700CE",,"0.0","2024-09-27","73700","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844663","844663","SENSEX24SEP80700PE",,"0.0","2024-09-27","80700","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844665","844665","BANKEX24AUG61900CE",,"0.0","2024-08-26","61900","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844670","844670","SENSEX24SEP77700PE",,"0.0","2024-09-27","77700","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844671","844671","BANKEX24JUL61800PE",,"0.0","2024-07-29","61800","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|844672","844672","SENSEX24SEP80600CE",,"0.0","2024-09-27","80600","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844674","844674","SENSEX24SEP78300PE",,"0.0","2024-09-27","78300","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844675","844675","SENSEX24SEP74600PE",,"0.0","2024-09-27","74600","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844677","844677","SENSEX24SEP75300CE",,"0.0","2024-09-27","75300","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844678","844678","SENSEX24SEP77600CE",,"0.0","2024-09-27","77600","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844679","844679","SENSEX24SEP79900CE",,"0.0","2024-09-27","79900","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844681","844681","BANKEX24JUL61700CE",,"0.0","2024-07-29","61700","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844682","844682","SENSEX24SEP73900CE",,"0.0","2024-09-27","73900","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844683","844683","SENSEX24SEP80900PE",,"0.0","2024-09-27","80900","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844685","844685","SENSEX24SEP79300PE",,"0.0","2024-09-27","79300","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844688","844688","SENSEX24SEP73300PE",,"0.0","2024-09-27","73300","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844689","844689","SENSEX24SEP75600PE",,"0.0","2024-09-27","75600","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844690","844690","SENSEX24SEP77900PE",,"0.0","2024-09-27","77900","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844694","844694","BANKEX24AUG61500PE",,"0.0","2024-08-26","61500","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|844696","844696","BANKEX24AUG62200CE",,"0.0","2024-08-26","62200","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844698","844698","SENSEX24SEP76200PE",,"0.0","2024-09-27","76200","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844700","844700","SENSEX24SEP79200CE",,"0.0","2024-09-27","79200","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844703","844703","SENSEX24SEP75500CE",,"0.0","2024-09-27","75500","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844705","844705","SENSEX24SEP77800CE",,"0.0","2024-09-27","77800","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844706","844706","SENSEX24SEP80200PE",,"0.0","2024-09-27","80200","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844708","844708","BANKEX24JUL61900CE",,"0.0","2024-07-29","61900","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844710","844710","BANKEX24AUG61400CE",,"0.0","2024-08-26","61400","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844712","844712","SENSEX24SEP77200PE",,"0.0","2024-09-27","77200","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844713","844713","SENSEX24SEP79500PE",,"0.0","2024-09-27","79500","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844714","844714","SENSEX24SEP73500PE",,"0.0","2024-09-27","73500","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844715","844715","SENSEX24SEP75800PE",,"0.0","2024-09-27","75800","0.05","10","OPTIDX","PE","BSE_FO"
"BSE_FO|844716","844716","SENSEX24SEP80100CE",,"0.0","2024-09-27","80100","0.05","10","OPTIDX","CE","BSE_FO"
"BSE_FO|844719","844719","BANKEX24AUG61700PE",,"0.0","2024-08-26","61700","0.05","15","OPTIDX","PE","BSE_FO"
"BSE_FO|844722","844722","BANKEX24AUG62400CE",,"0.0","2024-08-26","62400","0.05","15","OPTIDX","CE","BSE_FO"
"BSE_FO|844725","844725","SENSEX24SEP77100CE",,"0.0","2024-09-27","77100","0.05","10","OPTIDX","CE","BSE_FO"
